"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",35.7771459518269,7.12061313706997,5.02444737034944,3.9071857392836e-05
"2","dam_data$MAT..c.",1.07681121400667,0.438930770541637,2.45325979921138,0.0218007251796085
